,Gender,Age,Income,Holding Period,Debt Amount,First Time Investing,Credit Score,Education Level,Investment Amount,Crypto Output
17,Female,18-39,"90,000-109,999",Scalp Trader,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",2
18,Male,18-39,"130,000+",One Day,"$150,000+",Yes,690-719,Bachelors,"$80,000-149,999",0
19,Male,40-59,"20,000-49,000",Scalp Trader,"$10,000-49,999",Yes,630-689,High School,"$80,000-149,999",0
20,Other,40-59,"130,000+",One Day,"$50,000-99,999",Yes,300-629,PhD,"$80,000-149,999",1
21,Other,40-59,"110,000-129,999",Scalp Trader,"$10,000-49,999",Yes,630-689,Bachelors,"$1,000-79,999",0
22,Male,40-59,"110,000-129,999",Position Trader,"$50,000-99,999",Yes,300-629,Bachelors,"150,000+",1
23,Female,60+,"130,000+",One Day,"$150,000+",Not sure,690-719,High School,"$1,000-79,999",1
24,Other,40-59,"70,000-89,999",Scalp Trader,"$10,000-49,999",No,690-719,Masters,"$1,000-79,999",2
25,Other,18-39,"90,000-109,999",Swing Trader,"$50,000-99,999",No,690-719,Bachelors,"$80,000-149,999",0
26,Male,60+,"110,000-129,999",Intraday Trader,"$150,000+",No,630-689,Masters,"$80,000-149,999",0
27,Male,40-59,"90,000-109,999",One Day,"100,000-149,999",Yes,300-629,Masters,"$80,000-149,999",1
28,Male,60+,"50,000-69,999",Intraday Trader,"$50,000-99,999",No,690-719,High School,"$1,000-79,999",1
29,Other,60+,"20,000-49,000",Intraday Trader,"100,000-149,999",No,300-629,Bachelors,"$1,000-79,999",1
30,Male,18-39,"50,000-69,999",Swing Trader,"$150,000+",No,690-719,Masters,"$80,000-149,999",0
31,Female,18-39,"110,000-129,999",Intraday Trader,"$10,000-49,999",No,720-850,Bachelors,"150,000+",1
32,Other,18-39,"90,000-109,999",Scalp Trader,"$150,000+",Yes,300-629,Masters,"$1,000-79,999",2
33,Female,40-59,"130,000+",Swing Trader,"$150,000+",No,630-689,Masters,"$1,000-79,999",0
34,Female,60+,"90,000-109,999",Swing Trader,"$150,000+",No,690-719,PhD,"150,000+",0
35,Male,18-39,"50,000-69,999",One Day,"$50,000-99,999",No,690-719,Masters,"150,000+",0
36,Female,40-59,"90,000-109,999",Intraday Trader,"$150,000+",Not sure,630-689,PhD,"$80,000-149,999",2
37,Other,18-39,"50,000-69,999",One Day,"$10,000-49,999",Yes,690-719,Bachelors,"$1,000-79,999",0
38,Male,60+,"20,000-49,000",Intraday Trader,"$10,000-49,999",No,690-719,Masters,"$1,000-79,999",0
39,Female,60+,"130,000+",Swing Trader,"$150,000+",Yes,720-850,High School,"$80,000-149,999",2
40,Other,18-39,"70,000-89,999",Intraday Trader,"$10,000-49,999",Yes,690-719,High School,"$1,000-79,999",2
41,Female,40-59,"70,000-89,999",Scalp Trader,"$10,000-49,999",Not sure,630-689,Bachelors,"$1,000-79,999",1
42,Male,18-39,"110,000-129,999",One Day,"$10,000-49,999",Yes,630-689,High School,"$80,000-149,999",0
43,Female,60+,"130,000+",Position Trader,"100,000-149,999",Yes,690-719,PhD,"$80,000-149,999",2
44,Male,60+,"20,000-49,000",Position Trader,"$150,000+",Not sure,630-689,Masters,"$80,000-149,999",0
45,Female,40-59,"20,000-49,000",Swing Trader,"$150,000+",Yes,300-629,Masters,"$1,000-79,999",1
46,Other,60+,"50,000-69,999",One Day,"$50,000-99,999",Yes,720-850,Bachelors,"$1,000-79,999",1
47,Male,18-39,"50,000-69,999",Swing Trader,"$150,000+",No,630-689,Bachelors,"$80,000-149,999",2
48,Male,60+,"70,000-89,999",Scalp Trader,"$150,000+",Not sure,630-689,Masters,"$80,000-149,999",2
49,Male,40-59,"130,000+",One Day,"$150,000+",Yes,720-850,Masters,"150,000+",2
50,Male,18-39,"130,000+",One Day,"$50,000-99,999",No,300-629,PhD,"$80,000-149,999",2
51,Female,60+,"90,000-109,999",Scalp Trader,"$10,000-49,999",Yes,720-850,High School,"$80,000-149,999",0
52,Male,40-59,"50,000-69,999",Position Trader,"$150,000+",Yes,690-719,Bachelors,"150,000+",0
53,Male,18-39,"20,000-49,000",Position Trader,"100,000-149,999",Yes,690-719,PhD,"$80,000-149,999",0
54,Female,60+,"110,000-129,999",Swing Trader,"100,000-149,999",Not sure,720-850,Bachelors,"$80,000-149,999",0
55,Male,40-59,"50,000-69,999",Position Trader,"$10,000-49,999",No,720-850,PhD,"150,000+",2
56,Female,40-59,"90,000-109,999",Intraday Trader,"$10,000-49,999",Yes,690-719,Masters,"$80,000-149,999",0
57,Male,60+,"110,000-129,999",One Day,"$50,000-99,999",Yes,690-719,Masters,"$80,000-149,999",0
58,Female,18-39,"50,000-69,999",Scalp Trader,"$50,000-99,999",Yes,690-719,Bachelors,"$1,000-79,999",0
59,Female,40-59,"20,000-49,000",Swing Trader,"100,000-149,999",Not sure,690-719,PhD,"$80,000-149,999",0
60,Male,60+,"20,000-49,000",Position Trader,"$150,000+",No,720-850,Bachelors,"$1,000-79,999",0
61,Female,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",No,630-689,Masters,"150,000+",0
62,Female,18-39,"130,000+",One Day,"$50,000-99,999",Yes,690-719,High School,"$80,000-149,999",0
63,Female,60+,"20,000-49,000",Intraday Trader,"$150,000+",No,300-629,High School,"$1,000-79,999",1
64,Male,40-59,"50,000-69,999",Scalp Trader,"$50,000-99,999",Yes,720-850,Bachelors,"$80,000-149,999",2
65,Female,40-59,"20,000-49,000",Position Trader,"$150,000+",Not sure,690-719,PhD,"$1,000-79,999",0
66,Female,18-39,"110,000-129,999",One Day,"$150,000+",Yes,690-719,Bachelors,"$1,000-79,999",2
67,Female,18-39,"50,000-69,999",Scalp Trader,"100,000-149,999",Yes,630-689,Bachelors,"$80,000-149,999",2
68,Other,60+,"70,000-89,999",One Day,"$150,000+",No,720-850,High School,"$1,000-79,999",2
69,Female,40-59,"20,000-49,000",Scalp Trader,"$50,000-99,999",Yes,300-629,Masters,"150,000+",2
70,Other,18-39,"70,000-89,999",One Day,"100,000-149,999",No,300-629,Masters,"$80,000-149,999",2
71,Male,60+,"70,000-89,999",One Day,"$50,000-99,999",Yes,300-629,PhD,"$1,000-79,999",2
72,Male,18-39,"70,000-89,999",Position Trader,"100,000-149,999",No,630-689,Bachelors,"$80,000-149,999",0
73,Other,60+,"70,000-89,999",Scalp Trader,"$50,000-99,999",No,690-719,High School,"$1,000-79,999",0
74,Female,60+,"20,000-49,000",Position Trader,"$150,000+",Not sure,690-719,High School,"$80,000-149,999",0
75,Male,40-59,"110,000-129,999",Intraday Trader,"100,000-149,999",Yes,630-689,PhD,"$1,000-79,999",0
76,Other,40-59,"20,000-49,000",Intraday Trader,"100,000-149,999",No,690-719,Masters,"$80,000-149,999",1
77,Male,40-59,"70,000-89,999",Position Trader,"$150,000+",Yes,630-689,PhD,"150,000+",0
78,Female,40-59,"50,000-69,999",Scalp Trader,"$10,000-49,999",Yes,630-689,PhD,"$80,000-149,999",0
79,Female,60+,"50,000-69,999",Position Trader,"100,000-149,999",Not sure,300-629,Bachelors,"$1,000-79,999",0
80,Other,18-39,"110,000-129,999",Position Trader,"$150,000+",Not sure,690-719,Masters,"$1,000-79,999",0
81,Female,60+,"90,000-109,999",One Day,"$150,000+",Yes,300-629,Masters,"$1,000-79,999",2
82,Female,40-59,"50,000-69,999",One Day,"$50,000-99,999",Not sure,630-689,Bachelors,"150,000+",0
83,Male,18-39,"70,000-89,999",Intraday Trader,"$150,000+",Yes,690-719,High School,"$1,000-79,999",0
84,Male,18-39,"50,000-69,999",Scalp Trader,"$150,000+",No,690-719,Bachelors,"$1,000-79,999",0
85,Other,40-59,"110,000-129,999",One Day,"$150,000+",Yes,630-689,Bachelors,"$80,000-149,999",2
86,Female,18-39,"50,000-69,999",Position Trader,"$150,000+",Not sure,690-719,Bachelors,"$1,000-79,999",2
87,Other,18-39,"130,000+",Swing Trader,"$50,000-99,999",No,300-629,PhD,"$1,000-79,999",2
88,Female,18-39,"90,000-109,999",One Day,"$50,000-99,999",No,690-719,Masters,"$80,000-149,999",2
89,Female,60+,"90,000-109,999",Swing Trader,"100,000-149,999",Yes,720-850,Masters,"$1,000-79,999",0
90,Male,40-59,"50,000-69,999",One Day,"100,000-149,999",Not sure,720-850,PhD,"$80,000-149,999",0
91,Other,60+,"20,000-49,000",One Day,"100,000-149,999",No,720-850,PhD,"$80,000-149,999",1
92,Female,18-39,"70,000-89,999",Swing Trader,"$150,000+",Yes,630-689,PhD,"$1,000-79,999",2
93,Female,40-59,"130,000+",Intraday Trader,"$10,000-49,999",Yes,300-629,Masters,"$1,000-79,999",2
94,Female,40-59,"20,000-49,000",Scalp Trader,"$150,000+",Yes,720-850,PhD,"$1,000-79,999",0
95,Male,40-59,"50,000-69,999",Position Trader,"$150,000+",Yes,690-719,Masters,"$1,000-79,999",1
96,Other,18-39,"130,000+",Swing Trader,"$150,000+",Yes,690-719,Bachelors,"$1,000-79,999",1
97,Female,60+,"110,000-129,999",One Day,"$150,000+",Yes,300-629,PhD,"$1,000-79,999",2
98,Male,60+,"50,000-69,999",Intraday Trader,"100,000-149,999",Yes,720-850,PhD,"$80,000-149,999",0
99,Female,40-59,"50,000-69,999",Position Trader,"$150,000+",No,720-850,Bachelors,"150,000+",0
100,Male,18-39,"70,000-89,999",One Day,"$50,000-99,999",No,720-850,High School,"150,000+",2
101,Female,60+,"90,000-109,999",One Day,"$10,000-49,999",Not sure,690-719,PhD,"$80,000-149,999",2
102,Other,18-39,"110,000-129,999",Intraday Trader,"$10,000-49,999",Not sure,630-689,Masters,"$80,000-149,999",2
103,Female,18-39,"130,000+",One Day,"$50,000-99,999",Yes,720-850,Masters,"$80,000-149,999",1
104,Other,60+,"110,000-129,999",One Day,"100,000-149,999",Not sure,720-850,High School,"150,000+",2
105,Female,40-59,"50,000-69,999",One Day,"$50,000-99,999",No,720-850,Masters,"$1,000-79,999",0
106,Male,60+,"130,000+",Scalp Trader,"$150,000+",No,690-719,Bachelors,"$1,000-79,999",0
107,Other,40-59,"110,000-129,999",Scalp Trader,"$10,000-49,999",No,300-629,PhD,"$80,000-149,999",1
108,Female,60+,"50,000-69,999",Swing Trader,"$150,000+",Not sure,300-629,High School,"$80,000-149,999",0
109,Other,60+,"50,000-69,999",Scalp Trader,"$150,000+",Yes,630-689,Masters,"$80,000-149,999",2
110,Male,18-39,"130,000+",Position Trader,"$50,000-99,999",No,300-629,Bachelors,"$80,000-149,999",2
111,Male,18-39,"20,000-49,000",Swing Trader,"100,000-149,999",No,720-850,Masters,"$1,000-79,999",2
112,Other,60+,"90,000-109,999",One Day,"$150,000+",Not sure,720-850,Bachelors,"$80,000-149,999",2
113,Female,40-59,"50,000-69,999",Intraday Trader,"$50,000-99,999",Yes,690-719,PhD,"$80,000-149,999",2
114,Male,18-39,"130,000+",One Day,"100,000-149,999",Yes,690-719,Bachelors,"$1,000-79,999",2
115,Female,40-59,"70,000-89,999",Position Trader,"$150,000+",Yes,690-719,Bachelors,"150,000+",1
116,Female,18-39,"110,000-129,999",Intraday Trader,"$10,000-49,999",Not sure,720-850,High School,"$1,000-79,999",2
117,Other,18-39,"50,000-69,999",One Day,"$10,000-49,999",No,690-719,PhD,"$80,000-149,999",2
118,Female,60+,"70,000-89,999",Intraday Trader,"$50,000-99,999",No,690-719,High School,"150,000+",2
119,Male,18-39,"130,000+",Position Trader,"$50,000-99,999",No,720-850,Bachelors,"150,000+",2
120,Male,18-39,"70,000-89,999",One Day,"$50,000-99,999",No,630-689,Masters,"$1,000-79,999",0
121,Male,18-39,"20,000-49,000",Scalp Trader,"$50,000-99,999",Yes,300-629,High School,"150,000+",2
122,Male,60+,"90,000-109,999",Intraday Trader,"$10,000-49,999",No,720-850,PhD,"150,000+",2
123,Male,40-59,"110,000-129,999",Position Trader,"$150,000+",No,720-850,High School,"$1,000-79,999",0
124,Other,18-39,"50,000-69,999",Scalp Trader,"$50,000-99,999",No,690-719,Bachelors,"$1,000-79,999",2
125,Female,60+,"70,000-89,999",One Day,"100,000-149,999",Not sure,690-719,High School,"$1,000-79,999",2
126,Female,40-59,"130,000+",Intraday Trader,"100,000-149,999",No,300-629,Bachelors,"150,000+",0
127,Other,40-59,"130,000+",Swing Trader,"100,000-149,999",Not sure,630-689,Masters,"150,000+",0
128,Male,40-59,"110,000-129,999",One Day,"$150,000+",No,630-689,Masters,"$1,000-79,999",2
129,Male,18-39,"90,000-109,999",Scalp Trader,"$50,000-99,999",No,720-850,PhD,"$1,000-79,999",0
130,Female,18-39,"130,000+",Intraday Trader,"$150,000+",No,300-629,Bachelors,"$1,000-79,999",2
131,Other,18-39,"130,000+",Scalp Trader,"$10,000-49,999",Yes,690-719,Masters,"$1,000-79,999",2
132,Female,18-39,"20,000-49,000",One Day,"100,000-149,999",Yes,690-719,High School,"$1,000-79,999",0
133,Male,40-59,"70,000-89,999",One Day,"$50,000-99,999",No,300-629,PhD,"$80,000-149,999",0
134,Other,40-59,"90,000-109,999",Position Trader,"$50,000-99,999",No,690-719,Bachelors,"$80,000-149,999",2
135,Male,18-39,"110,000-129,999",Swing Trader,"$50,000-99,999",Yes,720-850,Bachelors,"$80,000-149,999",1
136,Other,60+,"20,000-49,000",Intraday Trader,"100,000-149,999",Yes,630-689,Bachelors,"$80,000-149,999",0
137,Female,60+,"70,000-89,999",Intraday Trader,"$50,000-99,999",No,690-719,High School,"150,000+",0
138,Other,60+,"50,000-69,999",Intraday Trader,"$50,000-99,999",No,300-629,Bachelors,"150,000+",0
139,Female,60+,"70,000-89,999",Scalp Trader,"$50,000-99,999",Yes,630-689,High School,"$1,000-79,999",2
140,Female,18-39,"70,000-89,999",Intraday Trader,"$10,000-49,999",Yes,690-719,Bachelors,"$1,000-79,999",2
141,Male,40-59,"110,000-129,999",Swing Trader,"$50,000-99,999",No,300-629,PhD,"$1,000-79,999",2
142,Male,40-59,"70,000-89,999",One Day,"$10,000-49,999",Yes,630-689,PhD,"$1,000-79,999",0
143,Male,40-59,"90,000-109,999",Intraday Trader,"$150,000+",Yes,690-719,Bachelors,"$1,000-79,999",0
144,Male,40-59,"90,000-109,999",Swing Trader,"$150,000+",No,300-629,Bachelors,"$1,000-79,999",0
145,Male,40-59,"70,000-89,999",Swing Trader,"100,000-149,999",Yes,690-719,High School,"$1,000-79,999",2
146,Male,40-59,"20,000-49,000",Position Trader,"$150,000+",Yes,690-719,Bachelors,"$80,000-149,999",0
147,Female,40-59,"50,000-69,999",Position Trader,"$150,000+",Yes,690-719,Bachelors,"150,000+",0
148,Female,40-59,"50,000-69,999",Swing Trader,"$150,000+",Yes,630-689,High School,"$80,000-149,999",2
149,Male,18-39,"20,000-49,000",Swing Trader,"100,000-149,999",Not sure,690-719,Bachelors,"$1,000-79,999",2
150,Male,60+,"90,000-109,999",One Day,"$10,000-49,999",No,300-629,Bachelors,"$80,000-149,999",2
151,Other,60+,"90,000-109,999",Position Trader,"100,000-149,999",No,630-689,High School,"$80,000-149,999",1
152,Female,60+,"90,000-109,999",One Day,"100,000-149,999",Yes,630-689,Bachelors,"$80,000-149,999",2
153,Male,18-39,"50,000-69,999",Scalp Trader,"100,000-149,999",No,690-719,Bachelors,"$80,000-149,999",0
154,Male,18-39,"110,000-129,999",Position Trader,"$150,000+",Not sure,690-719,Bachelors,"$80,000-149,999",0
155,Female,18-39,"50,000-69,999",One Day,"$50,000-99,999",Not sure,690-719,Bachelors,"150,000+",0
156,Male,18-39,"20,000-49,000",Intraday Trader,"$150,000+",No,300-629,High School,"$80,000-149,999",1
157,Female,60+,"110,000-129,999",Scalp Trader,"$50,000-99,999",No,630-689,PhD,"$1,000-79,999",0
158,Other,40-59,"70,000-89,999",One Day,"100,000-149,999",No,690-719,High School,"$1,000-79,999",1
159,Other,60+,"110,000-129,999",One Day,"$150,000+",Not sure,300-629,Masters,"$80,000-149,999",0
160,Male,40-59,"20,000-49,000",Position Trader,"$50,000-99,999",Yes,720-850,High School,"$1,000-79,999",0
161,Female,18-39,"20,000-49,000",Swing Trader,"$50,000-99,999",No,690-719,Bachelors,"$80,000-149,999",2
162,Female,18-39,"70,000-89,999",Position Trader,"100,000-149,999",Yes,300-629,Masters,"$1,000-79,999",1
163,Other,18-39,"110,000-129,999",Position Trader,"$10,000-49,999",Not sure,720-850,Bachelors,"150,000+",0
164,Male,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Not sure,690-719,High School,"$1,000-79,999",1
165,Male,60+,"50,000-69,999",One Day,"100,000-149,999",No,720-850,High School,"150,000+",2
166,Male,40-59,"70,000-89,999",Scalp Trader,"100,000-149,999",No,300-629,PhD,"$1,000-79,999",2
167,Female,40-59,"90,000-109,999",One Day,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",0
168,Female,40-59,"110,000-129,999",Intraday Trader,"100,000-149,999",Yes,300-629,PhD,"$1,000-79,999",0
169,Female,18-39,"20,000-49,000",Scalp Trader,"100,000-149,999",Yes,720-850,PhD,"$80,000-149,999",0
170,Male,18-39,"90,000-109,999",Position Trader,"100,000-149,999",Yes,630-689,High School,"$1,000-79,999",2
171,Other,40-59,"70,000-89,999",Position Trader,"$10,000-49,999",No,690-719,Bachelors,"$1,000-79,999",1
172,Female,18-39,"110,000-129,999",One Day,"$150,000+",Not sure,690-719,High School,"$1,000-79,999",0
173,Female,18-39,"50,000-69,999",One Day,"$50,000-99,999",Yes,690-719,High School,"$80,000-149,999",2
174,Female,60+,"90,000-109,999",One Day,"100,000-149,999",Yes,690-719,Masters,"$80,000-149,999",2
175,Female,60+,"20,000-49,000",Swing Trader,"$50,000-99,999",No,300-629,Bachelors,"150,000+",0
176,Female,18-39,"20,000-49,000",One Day,"100,000-149,999",No,630-689,PhD,"$80,000-149,999",2
177,Male,60+,"70,000-89,999",Position Trader,"100,000-149,999",Yes,720-850,PhD,"$1,000-79,999",1
178,Male,40-59,"20,000-49,000",Position Trader,"$50,000-99,999",Yes,720-850,High School,"$80,000-149,999",0
179,Female,60+,"90,000-109,999",One Day,"$150,000+",Not sure,720-850,Bachelors,"150,000+",2
180,Female,40-59,"90,000-109,999",Swing Trader,"$150,000+",Not sure,300-629,High School,"150,000+",2
181,Male,40-59,"110,000-129,999",One Day,"$150,000+",Yes,300-629,Masters,"$80,000-149,999",0
182,Female,18-39,"70,000-89,999",Position Trader,"100,000-149,999",No,300-629,High School,"$80,000-149,999",0
183,Male,40-59,"130,000+",Position Trader,"100,000-149,999",Not sure,720-850,PhD,"$80,000-149,999",2
184,Male,60+,"90,000-109,999",Position Trader,"100,000-149,999",No,690-719,Bachelors,"$80,000-149,999",0
185,Other,18-39,"70,000-89,999",Scalp Trader,"$50,000-99,999",No,720-850,Bachelors,"$80,000-149,999",2
186,Male,60+,"110,000-129,999",One Day,"100,000-149,999",Yes,630-689,Masters,"$80,000-149,999",0
187,Female,60+,"90,000-109,999",Position Trader,"$50,000-99,999",Yes,690-719,Bachelors,"$80,000-149,999",0
188,Female,18-39,"70,000-89,999",Swing Trader,"$50,000-99,999",Not sure,690-719,Bachelors,"$80,000-149,999",1
189,Other,40-59,"70,000-89,999",One Day,"100,000-149,999",No,720-850,PhD,"$1,000-79,999",2
190,Male,60+,"20,000-49,000",Swing Trader,"$10,000-49,999",Yes,630-689,Bachelors,"150,000+",0
191,Male,18-39,"70,000-89,999",One Day,"100,000-149,999",No,300-629,High School,"$80,000-149,999",2
192,Female,60+,"20,000-49,000",Intraday Trader,"$150,000+",No,690-719,Masters,"$80,000-149,999",2
193,Female,18-39,"70,000-89,999",Scalp Trader,"$150,000+",No,690-719,High School,"$1,000-79,999",2
194,Other,60+,"50,000-69,999",One Day,"$10,000-49,999",Yes,300-629,Bachelors,"$80,000-149,999",2
195,Other,40-59,"90,000-109,999",Scalp Trader,"$150,000+",Not sure,690-719,Bachelors,"$1,000-79,999",2
196,Male,18-39,"20,000-49,000",Swing Trader,"$50,000-99,999",No,720-850,PhD,"$1,000-79,999",1
197,Male,18-39,"90,000-109,999",Intraday Trader,"$10,000-49,999",Yes,300-629,Bachelors,"$80,000-149,999",1
198,Female,40-59,"50,000-69,999",Position Trader,"$50,000-99,999",Yes,720-850,Bachelors,"150,000+",1
199,Other,60+,"90,000-109,999",Intraday Trader,"$150,000+",Not sure,690-719,PhD,"$1,000-79,999",1
200,Other,60+,"110,000-129,999",One Day,"100,000-149,999",No,300-629,PhD,"$80,000-149,999",2
201,Female,40-59,"70,000-89,999",Swing Trader,"$10,000-49,999",No,690-719,Masters,"$80,000-149,999",2
202,Other,60+,"110,000-129,999",Swing Trader,"$150,000+",Yes,720-850,Bachelors,"$1,000-79,999",0
203,Female,40-59,"50,000-69,999",One Day,"100,000-149,999",No,720-850,High School,"$1,000-79,999",2
204,Female,18-39,"130,000+",Swing Trader,"$150,000+",Yes,720-850,Bachelors,"$1,000-79,999",0
205,Female,40-59,"50,000-69,999",Position Trader,"$50,000-99,999",Yes,630-689,High School,"$1,000-79,999",0
206,Female,18-39,"130,000+",Position Trader,"$10,000-49,999",Yes,300-629,PhD,"$80,000-149,999",0
207,Female,60+,"50,000-69,999",Intraday Trader,"100,000-149,999",Yes,720-850,Bachelors,"$80,000-149,999",0
208,Other,18-39,"70,000-89,999",One Day,"100,000-149,999",Not sure,630-689,Bachelors,"$1,000-79,999",0
209,Other,60+,"130,000+",Swing Trader,"$10,000-49,999",No,720-850,Masters,"$80,000-149,999",2
210,Female,40-59,"110,000-129,999",Swing Trader,"$10,000-49,999",Yes,720-850,Bachelors,"150,000+",0
211,Other,18-39,"110,000-129,999",Position Trader,"$10,000-49,999",No,630-689,Masters,"150,000+",2
212,Male,18-39,"70,000-89,999",One Day,"$10,000-49,999",Yes,720-850,PhD,"$80,000-149,999",1
213,Male,18-39,"110,000-129,999",One Day,"$50,000-99,999",No,690-719,Masters,"$80,000-149,999",2
214,Male,18-39,"130,000+",Intraday Trader,"100,000-149,999",Yes,720-850,Bachelors,"$80,000-149,999",0
215,Female,40-59,"70,000-89,999",Swing Trader,"100,000-149,999",Yes,720-850,PhD,"$80,000-149,999",0
216,Male,40-59,"90,000-109,999",Position Trader,"$150,000+",Yes,630-689,Masters,"$80,000-149,999",0
217,Other,60+,"20,000-49,000",One Day,"$10,000-49,999",Yes,630-689,PhD,"150,000+",1
218,Other,60+,"70,000-89,999",One Day,"$150,000+",Not sure,690-719,PhD,"$1,000-79,999",2
219,Male,18-39,"70,000-89,999",One Day,"100,000-149,999",Not sure,690-719,PhD,"$80,000-149,999",2
220,Male,18-39,"130,000+",Scalp Trader,"$150,000+",Yes,720-850,Bachelors,"$1,000-79,999",2
221,Male,40-59,"20,000-49,000",One Day,"$10,000-49,999",No,690-719,Masters,"$80,000-149,999",0
222,Male,40-59,"110,000-129,999",Position Trader,"$10,000-49,999",Not sure,690-719,Masters,"$1,000-79,999",1
223,Other,60+,"90,000-109,999",One Day,"$150,000+",Yes,300-629,Masters,"$80,000-149,999",0
224,Male,40-59,"90,000-109,999",One Day,"100,000-149,999",No,630-689,Bachelors,"150,000+",2
225,Other,40-59,"20,000-49,000",Intraday Trader,"100,000-149,999",Yes,300-629,PhD,"150,000+",1
226,Female,18-39,"20,000-49,000",Position Trader,"$10,000-49,999",Yes,720-850,PhD,"$80,000-149,999",1
227,Other,60+,"50,000-69,999",Intraday Trader,"100,000-149,999",No,300-629,Masters,"$80,000-149,999",1
228,Other,18-39,"20,000-49,000",Position Trader,"$150,000+",No,720-850,Bachelors,"$80,000-149,999",2
229,Other,60+,"110,000-129,999",One Day,"$150,000+",No,720-850,Bachelors,"150,000+",1
230,Female,18-39,"130,000+",Swing Trader,"100,000-149,999",Not sure,690-719,Bachelors,"$1,000-79,999",2
231,Female,40-59,"90,000-109,999",One Day,"$50,000-99,999",Not sure,300-629,High School,"$80,000-149,999",1
232,Female,18-39,"90,000-109,999",Swing Trader,"100,000-149,999",Yes,630-689,Masters,"$80,000-149,999",0
233,Male,60+,"90,000-109,999",Position Trader,"$50,000-99,999",Yes,300-629,Bachelors,"150,000+",2
234,Female,18-39,"50,000-69,999",Position Trader,"$50,000-99,999",No,690-719,Bachelors,"$1,000-79,999",1
235,Female,18-39,"70,000-89,999",One Day,"100,000-149,999",Yes,300-629,Bachelors,"$80,000-149,999",1
236,Male,60+,"90,000-109,999",Position Trader,"$150,000+",No,720-850,High School,"$1,000-79,999",0
237,Female,40-59,"130,000+",Swing Trader,"$150,000+",No,690-719,Bachelors,"$1,000-79,999",1
238,Female,18-39,"50,000-69,999",Position Trader,"$150,000+",No,300-629,PhD,"$1,000-79,999",0
239,Other,18-39,"50,000-69,999",One Day,"$50,000-99,999",Yes,690-719,PhD,"$1,000-79,999",0
240,Male,18-39,"110,000-129,999",One Day,"$150,000+",Not sure,300-629,High School,"$1,000-79,999",2
241,Other,18-39,"50,000-69,999",Scalp Trader,"$150,000+",No,630-689,High School,"$1,000-79,999",0
242,Female,18-39,"20,000-49,000",Swing Trader,"100,000-149,999",Yes,690-719,High School,"$80,000-149,999",0
243,Male,60+,"20,000-49,000",Position Trader,"100,000-149,999",Yes,690-719,Bachelors,"$80,000-149,999",2
244,Female,60+,"50,000-69,999",Position Trader,"$50,000-99,999",No,630-689,PhD,"$80,000-149,999",0
245,Female,40-59,"70,000-89,999",Intraday Trader,"$10,000-49,999",No,630-689,Bachelors,"$80,000-149,999",2
246,Male,40-59,"90,000-109,999",Intraday Trader,"100,000-149,999",Not sure,300-629,Bachelors,"$1,000-79,999",2
247,Female,60+,"130,000+",Swing Trader,"$150,000+",Not sure,300-629,Bachelors,"$80,000-149,999",2
248,Female,40-59,"130,000+",One Day,"$50,000-99,999",No,300-629,PhD,"$80,000-149,999",0
249,Other,18-39,"50,000-69,999",Position Trader,"100,000-149,999",Yes,300-629,Masters,"$1,000-79,999",2
